,leveringsrichting,postcode_tot,postcode_van,sjv,soort
624,100,1012GM,1012GM,2601,GAS
625,100,1012GM,1012GM,4079,ELK
626,100,1012GP,1012GN,8248,ELK
627,100,1012GP,1012GN,2126,GAS
628,100,1012GR,1012GR,2804,ELK
629,100,1012GR,1012GR,1079,GAS
630,100,1012GS,1012GS,2635,GAS
631,100,1012GS,1012GS,17983,ELK
632,100,1012GT,1012GT,2995,GAS
633,100,1012GT,1012GT,14862,ELK
634,100,1012GW,1012GV,2103,GAS
635,100,1012GW,1012GV,4772,ELK
636,100,1012GX,1012GX,3207,ELK
637,100,1012GZ,1012GX,2064,GAS
638,100,1012GZ,1012GZ,4343,ELK
639,100,1012HA,1012HA,6531,ELK
640,100,1012HA,1012HA,1908,GAS
641,100,1012HC,1012HB,8448,ELK
642,100,1012HC,1012HB,2398,GAS
643,100,1012HE,1012HD,1221,GAS
644,100,1012HE,1012HD,2644,ELK
645,100,1012HG,1012HG,2870,ELK
646,100,1012HG,1012HG,1770,GAS
647,100,1012HH,1012HH,1947,GAS
648,100,1012HH,1012HH,4221,ELK
649,100,1012HJ,1012HJ,1877,ELK
650,100,1012HJ,1012HJ,1289,GAS
